Name,ID#,,,,,,,,,,,,,,
,,,,,1.294696226,0.92182362,0.59081935,0.302401987,0.048102818,-0.17841696,-0.380585529,-0.560602352,-0.720580459,-0.873539256,-1.010800064
1-naphthol,61,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,1.09347067,0.735188908,0.41799325,0.143243791,-0.098112176,-0.313186221,-0.504350138,-0.673042152,-0.824643792,-0.963437034,-1.083161414
resorcinol,62,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,1.343453762,0.89221882,0.509598512,0.183912381,-0.103259522,-0.34849303,-0.560265069,-0.747962138,-0.915943831,-1.058616325,-1.204016733,,
hexanophenone,63,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,1.394399478,0.987484169,0.632477824,0.316328823,0.040800304,-0.202390894,-0.419793395,-0.613288184,-0.784998484,-0.941340179,-1.086783607,-1.234736772
heptanophenone,64,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,1.23748839,0.856988438,0.518780023,0.223536547,-0.03718755,-0.269303832,-0.476725995,-0.660373281,-0.82739463,-0.980712986,-1.124431087
octanophenone,65,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,1.489087045,1.082788833,0.722186557,0.407231199,0.128800634,-0.118890792,-0.34015445,-0.536866056,-0.714086875,-0.875064239,-1.023481096
tert-butylpyridine,66,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,1.149248579,0.745231585,0.39673577,0.094695377,-0.165692255,-0.402539504,-0.608815528,-0.787209027,-0.950514486,-1.098207907,,,,
4-methylpyridine,67,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,0.347654015,0.024116003,-0.254201133,-0.494786536,-0.695643309,-0.896880431,-1.06540105,,,,,,,
4-ethylaniline,68,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,1.40679896,0.973486959,0.599439857,0.275019935,-0.005483308,-0.258662784,-0.478651108,-0.671815608,-0.846536406,-1.000765344,-1.141758394,,,
4-butylaniline,69,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,1.138071325,0.759064382,0.429398538,0.135667527,-0.121156282,-0.347141278,-0.548930563,-0.729470536,-0.887455297,-1.034710549,-1.175365662,
4-hexylaniline,70,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,1.255180202,0.875030636,0.537489949,0.241969106,-0.018415185,-0.250462386,-0.456813846,-0.639427818,-0.80511974,-0.961951842,-1.09818174
4-octylaniline,71,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,,1.32322473,0.941118089,0.606570153,0.311285989,0.047982336,-0.185988567,-0.393054364,-0.58009049,-0.753036764,-0.905841598
4-decylaniline,72,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,,,1.341885525,0.968424084,0.638450926,0.344411126,0.082572306,-0.14936857,-0.35853822,-0.549410776,-0.718714063
4-dodecylaniline,73,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,,,,1.328061617,0.963436743,0.638536408,0.349168979,0.092143193,-0.139041853,-0.348508525,-0.535766768
octan-1-ol,74,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,1.097164616,0.672701843,0.30800656,-0.006538427,-0.275981176,-0.5224619,-0.735280785,-0.920316552,-1.092807667,,,,,
octanoic acid,75,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,1.482887451,0.988203865,0.568974284,0.211485211,-0.091379145,-0.360935174,-0.592662218,-0.794005636,-0.974263153,-1.146042656,,,,
decanoic acid,76,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,1.144093982,0.727857941,0.371539126,0.058168943,-0.212524393,-0.448109573,-0.657747757,-0.843527891,-1.005706275,-1.167576654,,
dextromethorphan,77,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,,,,1.23240278,0.897286882,0.597946791,0.330406446,0.092299852,-0.122543409,-0.317657851,-0.492002179
lidocaine,78,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,,,1.12201247,0.776457451,0.4708743,0.197826005,-0.045432519,-0.26136281,-0.456821348,-0.634958807,-0.795245548
caffeine,79,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,,1.414788071,1.036362377,0.704769691,0.411621951,0.150135265,-0.082863963,-0.289412908,-0.476229513,-0.64751627,-0.799066345
anthracene,80,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,,1.306568443,0.957987722,0.651477059,0.37736624,0.134709781,-0.084653018,-0.280938262,-0.458026385,-0.61935019,-0.765341637
"(1S,2R)-1-phenyl-2-(1-pyrrolidinyl)-1-propanol",81,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,,1.106006462,0.752917037,0.446246055,0.17324474,-0.065537585,-0.281429909,-0.47427372,-0.647246532,-0.806011182,-0.9516098
diphenylamine,82,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,1.356395643,0.974338012,0.634747598,0.338155574,0.073366456,-0.156782179,-0.365395033,-0.550537244,-0.716889284,-0.870894334,-1.009861415
benzocaine,83,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,1.256980356,0.87680051,0.539223942,0.245034345,-0.017957149,-0.24503621,-0.451181149,-0.633984438,-0.798562115,-0.95083931,-1.086969652
nikethamide,84,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,1.163238807,0.794722743,0.467198135,0.181958522,-0.07369661,-0.293545696,-0.493389568,-0.669691389,-0.829599733,-0.979175355,-1.112523757
nicotine,85,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,1.495159891,1.076581845,0.712701538,0.396741158,0.113533082,-0.133099328,-0.359054103,-0.546372782,-0.721110608,-0.876277984,-1.019277142,-1.154395648,
trihexylamine,86,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,,1.217225457,0.828723941,0.48891165,0.18634835,-0.078514029,-0.316940087,-0.52803342,-0.716867832,-0.89111974,-1.046706472
trioctylamine,87,60,80,100,120,140,160,180,200,220,240,260,280,300,320
